club,name,position,age,overall,nationality,image,Unnamed: 7
Chelsea,J. Tauriainen,MC VOL,19,57,Finland,/274/066/24_180.png,
Chelsea,E. Beach,GOL,19,54,Wales,/277/904/24_180.png,
Manchester City,E. Haaland,ATA,22,91,Norway,/239/085/24_180.png,
Manchester City,K. De Bruyne,MC MEI,32,91,Belgium,/192/985/24_180.png,
Manchester City,Rúben Dias,ZAG,26,89,Portugal,/239/818/24_180.png,
Manchester City,Rodri,VOL MC,27,89,Spain,/231/866/24_180.png,
Manchester City,Ederson,GOL,29,88,Brazil,/210/257/24_180.png,
Manchester City,Bernardo Silva,MC PD,28,88,Portugal,/218/667/24_180.png,
Manchester City,João Cancelo,LD LE MD,29,86,Portugal,/210/514/24_180.png,
Manchester City,J. Grealish,PE ME,27,85,England,/206/517/24_180.png,
Manchester City,P. Foden,PE PD,23,85,England,/237/692/24_180.png,
Manchester City,J. Stones,ZAG VOL LD,29,85,England,/203/574/24_180.png,
Manchester City,K. Walker,LD,33,84,England,/188/377/24_180.png,
Manchester City,M. Akanji,ZAG,27,82,Switzerland,/229/237/24_180.png,
Manchester City,J. Gvardiol,ZAG LE,21,82,Croatia,/251/517/24_180.png,
Manchester City,M. Kovačić,MC VOL,29,82,Croatia,/207/410/24_180.png,
Manchester City,J. Álvarez,ATA ATA MEI,23,81,Argentina,/246/191/24_180.png,
Manchester City,N. Aké,ZAG LE,28,81,Netherlands,/208/920/24_180.png,
Manchester City,S. Ortega,GOL,30,79,Germany,/200/159/24_180.png,
Manchester City,Matheus Nunes,MC ME,24,79,Portugal,/253/124/24_180.png,
Manchester City,J. Doku,PD MD PE,21,78,Belgium,/246/420/24_180.png,
Manchester City,K. Phillips,VOL MC,27,78,England,/224/081/24_180.png,
Manchester City,Z. Steffen,GOL,28,75,United States,/234/777/24_180.png,
Manchester City,Sergio Gómez,LE,22,74,Spain,/241/811/24_180.png,
Manchester City,Yan Couto,MD LD LD,21,74,Brazil,/259/075/24_180.png,
Manchester City,T. Harwood-Bellis,ZAG,21,74,England,/252/793/24_180.png,
Manchester City,R. Lewis,LD VOL,18,74,England,/271/574/24_180.png,
Manchester City,I. Kaboré,LD LD MD,22,73,Burkina Faso,/253/052/24_180.png,
Manchester City,M. Perrone,MC VOL,20,71,Argentina,/267/991/24_180.png,
Manchester City,C. Doyle,ZAG LE,19,71,England,/263/390/24_180.png,
Manchester City,J. McAtee,MEI MC,20,70,England,/264/349/24_180.png,
Manchester City,T. Doyle,MC VOL,21,69,England,/254/120/24_180.png,
Manchester City,L. Delap,ATA,20,69,England,/259/031/24_180.png,
Manchester City,D. Sarmiento,PD PE,20,67,Argentina,/253/715/24_180.png,
Manchester City,J. Wilson-Esbrand,LE LE,20,67,England,/264/681/24_180.png,
Manchester City,O. Bobb,PD,19,66,Norway,/277/295/24_180.png,
Manchester City,S. Carson,GOL,37,65,England,/157/804/24_180.png,
Manchester City,L. Fiorini,MC,21,65,Scotland,/262/981/24_180.png,
Manchester City,F. Stevanović,ME MD,20,63,Serbia,/263/169/24_180.png,
Manchester City,S. Tedić,ATA,23,63,Serbia,/258/560/24_180.png,
Manchester City,A. Robertson,MEI VOL,20,62,Australia,/259/677/24_180.png,
Manchester City,L. Mbete,ZAG,19,62,England,/261/621/24_180.png,
Manchester City,K. Breckin,MC,19,61,England,/276/621/24_180.png,
Manchester City,N. O'Reilly,MEI MC,18,61,England,/277/427/24_180.png,
Manchester City,F. Burns,ZAG,20,61,England,/266/873/24_180.png,
Manchester City,B. Knight,PD,21,60,England,/263/955/24_180.png,
Manchester City,J. Katongo,ZAG LD,18,59,England,/277/961/24_180.png,
Manchester United,Casemiro,VOL,31,88,Brazil,/200/145/24_180.png,
Manchester United,Bruno Fernandes,MEI MC PD,28,88,Portugal,/212/198/24_180.png,
Manchester United,R. Varane,ZAG,30,85,France,/201/535/24_180.png,
Manchester United,M. Rashford,PE ME ATA,25,84,England,/231/677/24_180.png,
Manchester United,L. Martínez,ZAG,25,84,Argentina,/239/301/24_180.png,
Manchester United,A. Onana,GOL,27,84,Cameroon,/226/753/24_180.png,
Manchester United,C. Eriksen,MC VOL,31,82,Denmark,/190/460/24_180.png,
Manchester United,J. Sancho,PE ME,23,82,England,/233/049/24_180.png,
Manchester United,L. Shaw,LE ZAG,27,82,England,/205/988/24_180.png,
Manchester United,M. Mount,MC MEI PD,24,81,England,/233/064/24_180.png,
Manchester United,Diogo Dalot,LD LE,24,80,Portugal,/234/574/24_180.png,
Manchester United,Antony,PD MD,23,80,Brazil,/255/475/24_180.png,
Manchester United,A. Wan-Bissaka,LD,25,80,England,/229/880/24_180.png,
Manchester United,A. Martial,ATA,27,80,France,/211/300/24_180.png,
Manchester United,S. Amrabat,VOL MC,26,80,Morocco,/224/158/24_180.png,
Manchester United,V. Lindelöf,ZAG LE,28,79,Sweden,/221/660/24_180.png,
Manchester United,H. Maguire,ZAG,30,79,England,/203/263/24_180.png,
Manchester United,S. McTominay,VOL MC,26,79,Scotland,/237/238/24_180.png,
Manchester United,T. Malacia,LE,23,78,Netherlands,/238/041/24_180.png,
Manchester United,R. Højlund,ATA,20,77,Denmark,/259/399/24_180.png,
Manchester United,Reguilón,LE LE,26,77,Spain,/245/279/24_180.png,
Manchester United,D. van de Beek,MC MEI VOL,26,76,Netherlands,/221/363/24_180.png,
Manchester United,A. Bayındır,GOL,25,76,Turkey,/243/647/24_180.png,
Manchester United,J. Evans,ZAG,35,75,Northern Ireland,/169/588/24_180.png,
Manchester United,M. Greenwood,MD ATA ME,21,75,England,/246/147/24_180.png,
Manchester United,Alejandro Garnacho,PE ME,19,74,Argentina,/268/438/24_180.png,
Manchester United,A. Diallo,PD MEI,20,74,Ivory Coast,/254/088/24_180.png,
Manchester United,T. Heaton,GOL,37,72,England,/163/264/24_180.png,
Manchester United,B. Williams,LE LD LE,22,72,England,/243/414/24_180.png,
Manchester United,F. Pellistri,PD PE,21,71,Uruguay,/253/283/24_180.png,
Manchester United,Álvaro Fernández,LE ME,20,70,Spain,/268/889/24_180.png,
Manchester United,H. Mejbri,MC MEI,20,69,Tunisia,/258/171/24_180.png,
Manchester United,W. Fish,ZAG,20,68,England,/256/611/24_180.png,
Manchester United,K. Mainoo,VOL MC MEI,18,62,England,/269/136/24_180.png,
Manchester United,S. Shoretire,MEI ATA PE,19,62,England,/260/910/24_180.png,
Manchester United,R. Bennett,ZAG,19,61,England,/268/445/24_180.png,
Manchester United,D. Gore,MC MEI,18,61,England,/268/443/24_180.png,
Manchester United,C. McNeill,ATA,19,61,England,/268/435/24_180.png,
Arsenal,M. Ødegaard,MEI MC,24,87,Norway,/222/665/24_180.png,
Arsenal,B. Saka,PD MD,21,86,England,/246/669/24_180.png,
Arsenal,D. Rice,VOL MC,24,85,England,/234/378/24_180.png,
Arsenal,T. Partey,VOL MC,30,85,Ghana,/209/989/24_180.png,
Arsenal,W. Saliba,ZAG,22,84,France,/243/715/24_180.png,
Arsenal,Gabriel Martinelli,PE ME,22,84,Brazil,/251/566/24_180.png,
Arsenal,Gabriel Jesus,ATA PD,26,84,Brazil,/230/666/24_180.png,
Arsenal,Gabriel,ZAG,25,84,Brazil,/232/580/24_180.png,
Arsenal,A. Ramsdale,GOL,25,84,England,/233/934/24_180.png,
Arsenal,Jorginho,VOL MC,31,83,Italy,/205/498/24_180.png,
Arsenal,K. Havertz,MEI PD ATA,24,82,Germany,/235/790/24_180.png,
Arsenal,B. White,LD ZAG,25,81,England,/231/936/24_180.png,
Arsenal,O. Zinchenko,LE,26,81,Ukraine,/227/813/24_180.png,
Arsenal,L. Trossard,ATA PE,28,81,Belgium,/207/421/24_180.png,
Arsenal,David Raya,GOL,27,80,Spain,/220/901/24_180.png,
Arsenal,K. Tierney,LE,26,80,Scotland,/226/491/24_180.png,
Arsenal,J. Timber,ZAG LD,22,79,Netherlands,/251/805/24_180.png,
Arsenal,T. Tomiyasu,LD LE,24,78,Japan,/232/938/24_180.png,
Arsenal,E. Smith Rowe,PE MEI,22,78,England,/240/273/24_180.png,
Arsenal,Fábio Vieira,MEI MC,23,77,Portugal,/256/958/24_180.png,
Arsenal,Nuno Tavares,LE ME,23,76,Portugal,/251/530/24_180.png,
Arsenal,E. Nketiah,ATA,24,76,England,/236/988/24_180.png,
Arsenal,M. Elneny,VOL MC,30,75,Egypt,/211/454/24_180.png,
Arsenal,R. Nelson,PD PE,23,75,England,/231/448/24_180.png,
Arsenal,A. Sambi Lokonga,VOL MC,23,74,Belgium,/241/928/24_180.png,
Arsenal,J. Kiwior,ZAG VOL,23,74,Poland,/265/693/24_180.png,
Arsenal,Cédric,LD,31,73,Portugal,/201/118/24_180.png,
Arsenal,R. Rúnarsson,GOL,28,73,Iceland,/222/562/24_180.png,
Arsenal,Marquinhos,MD,20,71,Brazil,/270/390/24_180.png,
Arsenal,C. Patino,MC VOL,19,68,England,/260/144/24_180.png,
Arsenal,A. Okonkwo,GOL,21,66,England,/246/671/24_180.png,
Arsenal,B. Norton-Cuffy,LD LD,19,66,England,/260/653/24_180.png,
Arsenal,O. Rekik,ZAG,21,65,Tunisia,/258/033/24_180.png,
Arsenal,C. Cîrjan,MEI MC,20,65,Romania,/260/141/24_180.png,
Arsenal,K. Hein,GOL,21,64,Estonia,/248/732/24_180.png,
Arsenal,M. Biereth,ATA,20,64,Denmark,/270/050/24_180.png,
Arsenal,T. John-Jules,ATA PE,22,64,England,/242/710/24_180.png,
Arsenal,M. Azeez,MC VOL,20,62,England,/253/452/24_180.png,
Arsenal,R. Walters,LD ZAG,18,61,England,/274/387/24_180.png,
Arsenal,T. Foran,ZAG,19,60,England,/273/925/24_180.png,
Arsenal,A. Cozier-Duberry,PE MEI,18,59,England,/271/743/24_180.png,
Arsenal,B. Ibrahim,VOL,18,59,England,/279/124/24_180.png,
Arsenal,L. Sousa,LE,18,58,England,/271/808/24_180.png,
Arsenal,C. Sagoe Jr,PD PE,18,57,England,/278/779/24_180.png,
Arsenal,M. Lewis-Skelly,MC VOL,16,57,England,/278/773/24_180.png,
Liverpool,Alisson,GOL,30,89,Brazil,/212/831/24_180.png,
Liverpool,V. van Dijk,ZAG,31,89,Netherlands,/203/376/24_180.png,
Liverpool,M. Salah,PD,31,89,Egypt,/209/331/24_180.png,
Liverpool,A. Robertson,LE,29,86,Scotland,/216/267/24_180.png,
Liverpool,T. Alexander-Arnold,LD,24,86,England,/231/281/24_180.png,
Liverpool,Diogo Jota,ATA PE,26,85,Portugal,/224/458/24_180.png,
Liverpool,L. Díaz,PE ME,26,84,Colombia,/241/084/24_180.png,
Liverpool,Thiago,MC,32,84,Spain,/189/509/24_180.png,
Liverpool,C. Gakpo,ATA PE,24,83,Netherlands,/242/516/24_180.png,
Liverpool,A. Mac Allister,MC MEI VOL,24,82,Argentina,/239/837/24_180.png,
Liverpool,D. Núñez,ATA PE,24,82,Uruguay,/253/072/24_180.png,
Liverpool,D. Szoboszlai,MEI MC,22,82,Hungary,/236/772/24_180.png,
Liverpool,I. Konaté,ZAG,24,81,France,/237/678/24_180.png,
Liverpool,J. Matip,ZAG,31,80,Cameroon,/197/061/24_180.png,
Liverpool,W. Endo,VOL MC,30,80,Japan,/232/487/24_180.png,
Liverpool,R. Gravenberch,MC,21,79,Netherlands,/246/104/24_180.png,
Liverpool,J. Gomez,ZAG LD,26,79,England,/225/100/24_180.png,
Liverpool,H. Elliott,MEI MC PD,20,77,England,/246/174/24_180.png,
Liverpool,C. Jones,MC,22,77,England,/242/434/24_180.png,
Liverpool,K. Tsimikas,LE,27,77,Greece,/232/223/24_180.png,
Liverpool,Fábio Carvalho,MEI MC ME,20,74,Portugal,/256/725/24_180.png,
Liverpool,C. Kelleher,GOL,24,73,Ireland,/240/913/24_180.png,
Liverpool,N. Phillips,ZAG,26,73,England,/240/926/24_180.png,
Liverpool,Stefan Bajcetic,VOL MC,18,72,Spain,/271/975/24_180.png,
Liverpool,S. van den Berg,ZAG,21,72,Netherlands,/242/453/24_180.png,
Liverpool,Adrián,GOL,36,72,Spain,/194/911/24_180.png,
Liverpool,C. Bradley,LD LD,19,69,Northern Ireland,/264/298/24_180.png,
Liverpool,A. Arroyo,ZAG LD,23,69,Colombia,/231/697/24_180.png,
Liverpool,T. Morton,VOL MC,20,68,England,/265/459/24_180.png,
Liverpool,R. Williams,ZAG,22,65,England,/247/601/24_180.png,
Liverpool,C. Ramsay,LD LD,19,65,Scotland,/252/897/24_180.png,
Liverpool,J. Quansah,ZAG,20,64,England,/273/651/24_180.png,
Liverpool,B. Koumetio,ZAG LE,20,63,France,/254/588/24_180.png,
Liverpool,B. Doak,PD,17,63,Scotland,/266/815/24_180.png,
Liverpool,L. Chambers,LE LE ZAG,19,62,England,/271/976/24_180.png,
Liverpool,K. Gordon,PD PE,18,62,England,/260/406/24_180.png,
Liverpool,A. Lewis,LE LE,23,61,England,/243/056/24_180.png,
Liverpool,V. Jaroš,GOL,21,61,Czech Republic,/253/428/24_180.png,
Liverpool,O. Beck,LE LE,20,61,Wales,/264/299/24_180.png,
Liverpool,J. Balagizi,MC MEI,19,61,England,/269/944/24_180.png,
Liverpool,L. Stephenson,VOL LD,19,60,England,/278/030/24_180.png,
Liverpool,C. Scanlon,LE,18,59,England,/278/894/24_180.png,
Liverpool,J. McConnell,MC,18,59,England,/278/292/24_180.png,
Liverpool,B. Clark,MC PE,18,59,England,/271/974/24_180.png,
Liverpool,Marcelo Pitaluga,GOL,20,57,Brazil,/259/430/24_180.png,
Tottenham,H. Son,PE ATA,30,87,South Korea,/200/104/24_180.png,
Tottenham,J. Maddison,MEI MC,26,85,England,/220/697/24_180.png,
Tottenham,G. Vicario,GOL,26,84,Italy,/240/091/24_180.png,
Tottenham,P. Højbjerg,VOL MC,27,84,Denmark,/213/648/24_180.png,
Tottenham,C. Romero,ZAG,25,83,Argentina,/232/488/24_180.png,
Tottenham,R. Bentancur,MC VOL,26,82,Uruguay,/227/535/24_180.png,
Tottenham,D. Kulusevski,PD MD,23,81,Sweden,/247/394/24_180.png,
Tottenham,Pedro Porro,LD LD,23,81,Spain,/243/576/24_180.png,
Tottenham,G. Lo Celso,MEI ATA,27,81,Argentina,/226/226/24_180.png,
Tottenham,H. Lloris,GOL,36,81,France,/167/948/24_180.png,
Tottenham,Richarlison,ATA PE,26,80,Brazil,/231/943/24_180.png,
Tottenham,Y. Bissouma,VOL MC,26,80,Mali,/236/480/24_180.png,
Tottenham,M. van de Ven,ZAG,22,79,Netherlands,/264/453/24_180.png,
Tottenham,I. Perišić,PE LE,34,78,Croatia,/181/458/24_180.png,
Tottenham,D. Udogie,LE ME,20,78,Italy,/259/583/24_180.png,
Tottenham,Emerson Royal,LD LD,24,78,Brazil,/247/204/24_180.png,
Tottenham,B. Davies,ZAG LE LE,30,77,Wales,/205/923/24_180.png,
Tottenham,M. Solomon,PE ME,23,77,Israel,/246/791/24_180.png,
Tottenham,E. Dier,ZAG,29,77,England,/202/335/24_180.png,
Tottenham,O. Skipp,VOL MC,22,77,England,/241/042/24_180.png,
Tottenham,Bryan Gil,PE ME,22,77,Spain,/246/785/24_180.png,
Tottenham,T. Ndombele,MC VOL MEI,26,77,France,/235/569/24_180.png,
Tottenham,F. Forster,GOL,35,76,England,/172/203/24_180.png,
Tottenham,B. Johnson,PD ATA,22,76,Wales,/251/421/24_180.png,
Tottenham,R. Sessegnon,LE LE,23,75,England,/235/883/24_180.png,
Tottenham,P. Sarr,MC VOL,20,75,Senegal,/259/868/24_180.png,
Tottenham,A. Veliz,ATA,19,75,Argentina,/269/176/24_180.png,
Tottenham,J. Tanganga,LD ZAG LD,24,74,England,/236/600/24_180.png,
Tottenham,D. Spence,LD LD,22,74,England,/243/702/24_180.png,
Tottenham,J. Rodon,ZAG,25,74,Wales,/229/266/24_180.png,
Tottenham,T. Parrott,ATA MD,21,67,Ireland,/245/902/24_180.png,
Tottenham,B. Austin,GOL,24,64,England,/236/568/24_180.png,
Tottenham,A. Devine,MEI MC,18,64,England,/264/180/24_180.png,
Tottenham,A. Whiteman,GOL,24,63,England,/236/239/24_180.png,
Tottenham,D. Scarlett,ATA,19,63,England,/261/025/24_180.png,
Tottenham,J. Donley,MEI ATA,18,62,England,/278/557/24_180.png,
Tottenham,A. Phillips,ZAG,18,61,England,/264/731/24_180.png,
Tottenham,M. Craig,VOL MC,20,60,Scotland,/268/905/24_180.png,
Tottenham,A. Dorrington,ZAG,18,60,England,/279/117/24_180.png,
Tottenham,B. Lyons-Foster,ZAG,22,58,England,/243/848/24_180.png,
Everton,J. Pickford,GOL,29,82,England,/204/935/24_180.png,
Everton,Beto,ATA,25,81,Portugal,/251/892/24_180.png,
Everton,A. Danjuma,ATA,26,80,Netherlands,/236/276/24_180.png,
Everton,J. Tarkowski,ZAG,30,79,England,/202/695/24_180.png,
Everton,A. Doucouré,MC MEI,30,77,Mali,/208/135/24_180.png,
Everton,D. Calvert-Lewin,ATA,26,77,England,/221/479/24_180.png,
Everton,I. Gueye,VOL MC,33,77,Senegal,/193/474/24_180.png,
Everton,M. Keane,ZAG,30,77,England,/207/599/24_180.png,
Everton,J. Harrison,MD ME,26,76,England,/232/080/24_180.png,
Everton,A. Onana,VOL MC,21,76,Belgium,/257/057/24_180.png,
Everton,D. McNeil,ME,23,76,England,/243/282/24_180.png,
Everton,André Gomes,VOL MC,29,76,Portugal,/211/575/24_180.png,
Everton,A. Young,LD LE,37,75,England,/152/908/24_180.png,
Everton,B. Godfrey,ZAG LE,25,75,England,/225/793/24_180.png,
Everton,V. Mykolenko,LE LE,24,75,Ukraine,/244/380/24_180.png,
Everton,S. Coleman,LD LD,34,75,Ireland,/180/216/24_180.png,
Everton,J. Garner,VOL MC MD,22,74,England,/243/657/24_180.png,
Everton,D. Alli,MC MEI,27,74,England,/211/117/24_180.png,
Everton,M. Holgate,ZAG LD,26,74,England,/225/024/24_180.png,
Everton,N. Maupay,ATA,26,74,France,/211/784/24_180.png,
Everton,J. Branthwaite,ZAG,21,73,England,/247/649/24_180.png,
Everton,N. Patterson,LD LD,21,72,Scotland,/257/896/24_180.png,
Everton,Y. Chermiti,ATA,19,71,Portugal,/270/866/24_180.png,
Everton,João Virgínia,GOL,23,66,Portugal,/237/704/24_180.png,
Everton,L. Dobbin,ME ATA,20,64,England,/264/039/24_180.png,
Everton,L. Warrington,VOL MC,20,64,England,/266/871/24_180.png,
Everton,K. John,LD,22,63,England,/247/764/24_180.png,
Everton,S. Mills,MD PD,19,62,England,/270/676/24_180.png,
Everton,R. Astley,ZAG,21,62,Wales,/246/950/24_180.png,
Everton,T. Onyango,MC MEI,20,60,England,/263/168/24_180.png,
Everton,M. Hunt,LE ME,21,59,England,/277/434/24_180.png,
Everton,A. Lonergan,GOL,39,58,England,/118/794/24_180.png,
Everton,R. Welch,ZAG,19,57,England,/268/632/24_180.png,
Leicester,Ricardo Pereira,LD LD,29,79,Portugal,/210/243/24_180.png,
Leicester,W. Ndidi,VOL MC,26,79,Nigeria,/226/790/24_180.png,
Leicester,J. Vardy,ATA,36,78,England,/208/830/24_180.png,
Leicester,K. Dewsbury-Hall,MC VOL,24,77,England,/237/386/24_180.png,
Leicester,J. Justin,LE LD,25,76,England,/231/554/24_180.png,
Leicester,K. Iheanacho,ATA,26,76,Nigeria,/225/719/24_180.png,
Leicester,S. Mavididi,PE ATA,25,76,England,/225/783/24_180.png,
Leicester,W. Faes,ZAG,25,76,Belgium,/235/036/24_180.png,
Leicester,C. Coady,ZAG,30,76,England,/202/048/24_180.png,
Leicester,H. Winks,VOL MC,27,75,England,/222/400/24_180.png,
Leicester,D. Praet,MC MEI,29,75,Belgium,/199/652/24_180.png,
Leicester,B. Soumaré,VOL MC,24,75,France,/239/817/24_180.png,
Leicester,M. Hermansen,GOL,22,74,Denmark,/246/158/24_180.png,
Leicester,P. Daka,ATA,24,74,Zambia,/241/202/24_180.png,
Leicester,D. Iversen,GOL,25,74,Denmark,/228/410/24_180.png,
Leicester,J. Vestergaard,ZAG,30,74,Denmark,/202/849/24_180.png,
Leicester,H. Souttar,ZAG,24,73,Australia,/229/901/24_180.png,
Leicester,L. Thomas,LE LE,22,73,England,/254/470/24_180.png,
Leicester,D. Ward,GOL,30,73,Wales,/207/998/24_180.png,
Leicester,V. Kristiansen,LE,20,72,Denmark,/259/762/24_180.png,
Leicester,H. Choudhury,VOL LD,25,72,England,/228/332/24_180.png,
Leicester,Y. Akgün,MD MEI PD,22,72,Turkey,/239/892/24_180.png,
Leicester,A. Fatawu,PD PE,19,71,Ghana,/267/680/24_180.png,
Leicester,T. Cannon,ATA,20,69,Ireland,/272/651/24_180.png,
Leicester,M. Albrighton,MD LD PD,33,69,England,/183/130/24_180.png,
Leicester,A. Smithies,GOL,33,68,England,/184/436/24_180.png,
Leicester,K. McAteer,PD PE,21,67,England,/265/801/24_180.png,
Leicester,N. Opoku,ATA MEI,21,65,Ghana,/274/359/24_180.png,
Leicester,Wanya Marçal,PD PE,20,65,Portugal,/267/867/24_180.png,
Leicester,S. Braybrooke,MC VOL,19,63,England,/267/868/24_180.png,
Leicester,L. Brunt,ZAG,22,62,England,/246/392/24_180.png,
Leicester,J. Stolarczyk,GOL,22,61,Poland,/239/772/24_180.png,
Leicester,B. Nelson,ZAG,19,59,England,/270/944/24_180.png,
Leicester,Z. Booth,MC VOL,19,57,United States,/278/047/24_180.png,
Leeds United,L. Sinisterra,ME MD MEI,24,78,Colombia,/233/500/24_180.png,
Leeds United,R. Koch,ZAG VOL,26,77,Germany,/236/532/24_180.png,
Leeds United,M. Wöber,ZAG LE,25,77,Austria,/231/838/24_180.png,
Leeds United,Diego Llorente,ZAG,29,77,Spain,/212/602/24_180.png,
Leeds United,E. Ampadu,VOL ZAG MC,22,75,Wales,/235/735/24_180.png,
Leeds United,R. Kristensen,LD ZAG,25,75,Denmark,/233/301/24_180.png,
Leeds United,D. James,MD ME ATA,25,75,Wales,/232/104/24_180.png,
Leeds United,I. Meslier,GOL,23,75,France,/242/656/24_180.png,
Leeds United,Marc Roca,VOL MC,26,75,Spain,/235/945/24_180.png,
Leeds United,B. Aaronson,MEI MD MC,22,74,United States,/247/361/24_180.png,
Leeds United,C. Summerville,MD ME,21,74,Netherlands,/251/954/24_180.png,
Leeds United,W. Gnonto,ME MD ATA,19,74,Italy,/258/906/24_180.png,
Leeds United,J. Piroe,ATA MEI,23,74,Netherlands,/247/249/24_180.png,
Leeds United,K. Darlow,GOL,32,74,England,/193/331/24_180.png,
Leeds United,P. Bamford,ATA,29,74,England,/206/534/24_180.png,
Leeds United,G. Kamara,MC VOL,27,73,Finland,/213/654/24_180.png,
Leeds United,P. Struijk,ZAG LE,23,73,Netherlands,/239/360/24_180.png,
Leeds United,Junior Firpo,LE LE,26,73,Spain,/241/184/24_180.png,
Leeds United,J. Anthony,ME PE,23,73,England,/243/669/24_180.png,
Leeds United,L. Cooper,ZAG,31,73,Scotland,/189/456/24_180.png,
Leeds United,G. Rutter,ATA MD,21,73,France,/245/637/24_180.png,
Leeds United,I. Gruev,VOL MC,23,72,Bulgaria,/248/384/24_180.png,
Leeds United,S. Byram,LE LD,29,72,England,/208/892/24_180.png,
Leeds United,S. Dallas,MC LE LD,32,72,Northern Ireland,/203/570/24_180.png,
Leeds United,L. Ayling,LD ZAG,31,71,England,/186/156/24_180.png,
Leeds United,C. Cresswell,ZAG,20,70,England,/254/121/24_180.png,
Leeds United,J. Gelhardt,MEI ATA ATA,21,70,England,/246/053/24_180.png,
Leeds United,J. Shackleton,LD LE MC,23,70,England,/245/715/24_180.png,
Leeds United,C. Drameh,LD LD,21,70,England,/254/529/24_180.png,
Leeds United,I. Poveda,MD MEI,23,69,England,/243/390/24_180.png,
Leeds United,S. Greenwood,MEI MC,21,69,England,/253/407/24_180.png,
Leeds United,A. Gray,VOL MC,17,67,England,/270/208/24_180.png,
Leeds United,L. Hjelde,LE ZAG,19,65,Norway,/253/969/24_180.png,
Leeds United,K. Klaesson,GOL,22,64,Norway,/237/935/24_180.png,
Leeds United,M. Joseph,ATA,19,63,England,/270/206/24_180.png,
Leeds United,D. Gyabi,VOL MC,19,63,England,/270/209/24_180.png,
Leeds United,Diogo Monteiro,ZAG,18,60,Portugal,/263/734/24_180.png,
Leeds United,S. Perkins,MD ATA MEI,19,60,England,/266/074/24_180.png,
West Ham,E. Álvarez,VOL ZAG,25,81,Mexico,/235/844/24_180.png,
